#-ttt-put-first-2
F -
# 012
0 0:0
0 1:-1
0 2:-1

0 0:-1
0 1:0
0 2:-1

0 0:-1
0 1:-1
0 2:0

# 345
0 3:0
0 4:-1
0 5:-1

0 3:-1
0 4:0
0 5:-1

0 3:-1
0 4:-1
0 5:0

# 678
0 6:0
0 7:-1
0 8:-1

0 6:-1
0 7:0
0 8:-1

0 6:-1
0 7:-1
0 8:-1

0 0:-1
0 3:-1
0 6:0

# 147
0 1:0
0 4:-1
0 7:-1

0 1:-1
0 4:0
0 7:-1

0 1:-1
0 4:-1
0 7:0

# 258
0 2:0
0 5:-1
0 8:-1

0 2:-1
0 5:0
0 8:-1

0 2:-1
0 5:-1
0 8:0

# 048
0 0:0
0 4:-1
0 8:-1

0 0:-1
0 4:0
0 8:-1

0 0:-1
0 4:-1
0 8:0

# 246
0 2:0
0 4:-1
0 6:-1

0 2:-1
0 4:0
0 6:-1

0 2:-1
0 4:-1
0 6:0


